tourney_id,tourney_name,surface,draw_size,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpFaced,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpFaced,l_bpSaved,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_date
2020520,Roland Garros,Clay,128,203,106058,Jack Sock,R,185,USA,28,105723,Andrey Kuznetsov,R,185,RUS,30,7-6(5) 7-6(4),119,13,2,85,51,39,21,12,4,3,3,3,92,55,35,25,12,8,7,310,140,573,45,2020-09-28 00:00:00
2021520,Roland Garros,Clay,128,859,106281,Liam Broady,L,183,GBR,27,105359,Jason Jung,R,178,TPE,32,6-4 6-2,94,5,1,62,46,30,8,9,6,5,1,1,65,43,22,11,9,7,3,146,514,160,448,2021-05-31 00:00:00
2021581,Australian Open,Hard,128,173,111200,Elias Ymer,R,183,SWE,25,144817,Marc Andrea Huesler,L,196,SUI,24,1-6 6-3 6-2,109,1,4,73,51,37,8,12,5,2,3,3,67,42,28,11,12,7,3,204,314,147,447,2021-01-10 00:00:00
2020520,Roland Garros,Clay,128,147,122298,Botic Van De Zandschulp,R,188,NED,25,103893,Paolo Lorenzi,R,183,ITA,39,7-6(5) 6-3,127,1,7,75,50,32,11,11,12,9,1,1,80,58,31,11,10,7,2,166,343,130,447,2020-09-28 00:00:00
2020520,Roland Garros,Clay,128,183,126127,Benjamin Bonzi,R,185,FRA,24,103333,Ivo Karlovic,R,208,CRO,42,6-3 7-6(3),80,8,0,62,40,33,15,11,2,2,8,1,68,44,31,12,10,4,3,227,239,131,444,2020-09-28 00:00:00
2020520,Roland Garros,Clay,128,115,105952,Renzo Olivo,R,180,ARG,28,105943,Federico Gaio,R,180,ITA,28,6-4 6-4,98,1,4,66,39,26,18,10,9,8,0,0,69,55,30,8,10,10,7,209,256,132,444,2020-09-28 00:00:00
2021581,Australian Open,Hard,128,115,104660,Sergiy Stakhovsky,R,193,UKR,35,126523,Bernabe Zapata Miralles,R,185,ESP,24,7-6(4) 6-4,108,3,3,77,51,38,10,11,9,7,5,1,77,55,32,13,11,8,5,201,329,150,443,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,896,122298,Botic Van De Zandschulp,R,188,NED,26,105011,Illya Marchenko,R,185,UKR,34,6-1 6-2,72,4,3,44,30,27,6,8,0,0,0,2,51,23,10,14,7,7,3,154,478,161,443,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,123,105943,Federico Gaio,R,180,ITA,29,105641,Blaz Rola,L,193,SLO,31,6-4 6-4,82,7,1,62,35,25,21,10,4,4,2,3,58,37,28,9,10,3,1,145,499,159,443,2021-06-28 00:00:00
2020580,Australian Open,Hard,128,210,105208,Ernests Gulbis,R,190,LAT,31,105432,Prajnesh Gunneswaran,L,188,IND,30,7-6(2) 6-2,80,9,1,59,41,32,12,10,2,1,4,2,59,38,24,11,10,5,2,256,179,123,442,2020-01-20 00:00:00
2020520,Roland Garros,Clay,128,163,126409,Hugo Grenier,R,196,FRA,24,105649,Cedrik Marcel Stebe,L,183,GER,30,3-6 7-5 6-4,149,2,4,102,69,43,16,16,5,1,2,1,92,60,43,13,15,9,5,249,208,133,441,2020-09-28 00:00:00
2021520,Roland Garros,Clay,128,895,207678,Juan Manuel Cerundolo,L,183,ARG,20,105633,Mohamed Safwat,R,183,EGY,31,6-1 6-2,67,1,2,50,40,30,5,8,4,4,2,0,48,31,16,6,7,8,4,147,513,162,440,2021-05-31 00:00:00
2021560,Us Open,Hard,128,188,105062,Mikhail Kukushkin,R,183,KAZ,34,105359,Jason Jung,R,178,TPE,32,6-4 6-3,86,2,1,56,35,23,17,0,1,1,1,2,55,29,20,15,0,5,2,129,614,166,440,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,210,106296,Gregoire Barrere,R,183,FRA,27,105359,Jason Jung,R,178,TPE,32,7-6(5) 3-6 7-6(4) 6-2,181,4,0,135,87,64,25,21,10,6,8,6,141,96,66,22,22,15,10,131,607,160,440,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,130,105051,Matthew Ebden,R,188,AUS,34,202104,Sebastian Baez,R,170,ARG,20,6-7(3) 6-3 6-2,108,6,5,101,62,48,17,16,5,3,1,0,94,73,46,11,14,10,5,239,287,161,440,2021-06-28 00:00:00
2021560,Us Open,Hard,128,149,105359,Jason Jung,R,178,TPE,32,124116,Sebastian Ofner,R,191,AUT,25,7-5 6-4,79,3,0,63,41,30,11,0,2,0,10,3,63,36,27,10,0,9,5,166,440,168,439,2021-08-30 00:00:00
2021560,Us Open,Hard,128,134,126125,Maxime Janvier,R,193,FRA,25,111200,Elias Ymer,R,183,SWE,25,6-1 6-3,71,5,2,47,30,22,11,0,1,1,3,3,52,21,16,10,0,8,4,234,294,167,439,2021-08-30 00:00:00
2021560,Us Open,Hard,128,122,105877,Emilio Gomez,R,185,ECU,30,144817,Marc Andrea Huesler,L,196,SUI,25,7-5 6-3,90,10,1,66,44,32,12,0,3,2,7,5,68,36,27,14,0,7,4,161,467,169,438,2021-08-30 00:00:00
2021560,Us Open,Hard,128,156,105216,Yuichi Sugita,R,173,JPN,33,106408,Mario Vilella Martinez,R,178,ESP,26,3-6 6-3 6-2,111,6,3,85,51,36,18,0,6,4,10,13,76,36,29,17,0,5,1,131,612,170,437,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,136,126523,Bernabe Zapata Miralles,R,185,ESP,24,105561,Alessandro Giannessi,L,183,ITA,31,7-6(5) 6-3,95,2,3,65,42,26,14,11,10,6,5,2,87,62,36,8,11,13,7,125,650,163,437,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,129,208278,Shintaro Mochizuki,R,180,JPN,18,200384,Hugo Gaston,L,173,FRA,21,1-6 6-2 6-4,95,1,6,76,50,27,10,12,10,3,4,7,92,44,28,11,13,13,5,499,74,162,437,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,875,126535,Carlos Taberner,R,183,ESP,24,105341,Thomas Fabbiano,R,173,ITA,32,6-2 6-0,63,1,1,35,18,15,10,7,1,0,0,3,49,27,11,7,7,7,1,137,555,164,436,2021-05-31 00:00:00
2020520,Roland Garros,Clay,128,111,126128,Roman Safiullin,R,185,RUS,23,105614,Bradley Klahn,L,190,USA,30,3-6 6-2 6-4,131,3,4,107,84,59,8,14,14,12,2,0,81,55,37,13,13,6,3,191,293,134,436,2020-09-28 00:00:00
2021520,Roland Garros,Clay,128,887,106214,Oscar Otte,R,196,GER,28,105905,Danilo Petrovic,R,203,SRB,29,6-1 7-5,65,4,0,46,29,27,13,10,0,0,2,5,69,46,29,7,9,10,7,152,485,165,434,2021-05-31 00:00:00
2021581,Australian Open,Hard,128,193,127339,Borna Gojo,R,196,CRO,23,105841,Lorenzo Giustino,R,183,ITA,29,6-3 7-6(7),123,7,2,70,47,37,14,11,2,1,5,4,73,43,32,13,10,6,4,223,258,151,433,2021-01-10 00:00:00
2021581,Australian Open,Hard,128,135,200335,Felipe Meligeni Alves,R,185,BRA,23,105373,Martin Klizan,L,190,SVK,32,6-1 6-4,74,11,1,52,37,27,10,9,2,1,2,4,51,17,11,12,8,6,2,230,253,152,432,2021-01-10 00:00:00
2021560,Us Open,Hard,128,120,122298,Botic Van De Zandschulp,R,188,NED,26,144642,Tomas Barrios Vera,R,191,CHI,24,6-7(1) 6-2 6-2,120,10,11,93,49,38,18,0,6,3,4,1,78,49,31,12,0,9,2,117,698,172,432,2021-08-30 00:00:00
2021560,Us Open,Hard,128,159,106198,Hugo Dellien,R,180,BOL,28,105561,Alessandro Giannessi,L,183,ITA,31,6-1 6-3,67,1,0,43,36,28,5,0,2,2,2,5,64,42,28,6,0,8,4,137,579,171,432,2021-08-30 00:00:00
2021520,Roland Garros,Clay,128,902,207989,Carlos Alcaraz,R,185,ESP,18,126214,Alejandro Tabilo,L,188,CHI,24,6-1 6-1,58,2,3,48,34,24,6,7,3,2,0,2,43,28,10,5,7,8,2,97,815,166,430,2021-05-31 00:00:00
2020580,Australian Open,Hard,128,185,123755,Daniel Elahi Galan,R,191,COL,24,105359,Jason Jung,R,178,TPE,30,6-3 3-6 6-3,119,10,0,101,69,45,17,14,8,6,4,2,85,64,38,12,13,4,1,186,269,126,429,2020-01-20 00:00:00
2020580,Australian Open,Hard,128,181,105841,Lorenzo Giustino,R,183,ITA,28,120424,Yannick Maden,R,185,GER,30,6-7(4) 6-2 6-4,143,12,6,100,62,43,21,15,7,5,9,2,103,63,40,19,15,13,8,150,347,125,429,2020-01-20 00:00:00
2021540,Wimbledon,Grass,128,165,144642,Tomas Barrios Vera,R,191,CHI,24,111505,Enzo Couacaud,R,183,FRA,26,7-6(5) 7-6(4),104,3,0,81,56,42,16,14,4,2,11,3,97,55,43,19,12,8,6,209,334,164,429,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,816,106121,Taro Daniel,R,191,JPN,28,103893,Paolo Lorenzi,R,183,ITA,39,6-3 6-4,98,2,1,62,38,31,14,10,4,4,4,2,62,29,21,16,9,9,7,113,716,167,428,2021-05-31 00:00:00
2021560,Us Open,Hard,128,178,111460,Quentin Halys,R,191,FRA,25,200390,Kacper Zuk,R,183,POL,23,7-6(6) 6-4,90,18,3,71,52,44,7,0,1,0,7,6,80,51,35,16,0,9,7,183,394,173,428,2021-08-30 00:00:00
